"skill_name","category","canonical_path","tree_sha256","file_count","bytes","provenance_status"
"agi-research-landscape","analysis","skills/analysis/agi-research-landscape","0D22622C7A8FE7AD388BBA949C607A0C55DD304046474FAE16B50813CED135FF","2","6896","canonical-git-tracked"
"ai-solutions-engineer","engineering","skills/engineering/ai-solutions-engineer","09178544E0B09E56EE3A5FE293CFE1AF13FE0FA307467C0DD9080039299BFA67","2","3324","canonical-git-tracked"
"breadcrumb-investigator","investigation","skills/investigation/breadcrumb-investigator","F5F8C3725B25C382F58D08A315065F70EDC3B4AC41CE5A89358282D1A7B322BF","4","9167","canonical-git-tracked"
"context-sentinel","orchestration","skills/orchestration/context-sentinel","B30D5C0D032555531D38C22032215E6E73527E678AE7AECE2E10ABE43AEC3848","3","3638","canonical-git-tracked"
"cybersecurity-specialist","security","skills/security/cybersecurity-specialist","D34B8FC0E109D5EEDFAA1FA4392F4C4EE0E9298D31BB84416D47D031D48BE684","2","3765","canonical-git-tracked"
"eiram-editorial-intelligence","editorial","skills/editorial/eiram-editorial-intelligence","B808B4C7A75A0F8D3100782956870B0AFECE60DFE2D580D8F3AC61B21A3A49A3","9","15835","canonical-git-tracked"
"eiram-governed-architecture","analysis","skills/analysis/eiram-governed-architecture","89B325273C67C4BFD2EF22F1A99F64B45F588D84FE64536942DFC42A8B84FFB5","4","25568","canonical-git-tracked"
"eiram-investigative-orchestrator","analysis","skills/analysis/eiram-investigative-orchestrator","98DEE2B9D4FD9832F5E339B2D5410C68F3246F4C6EAA3F76D932A8789663B968","4","8226","canonical-git-tracked"
"eiram-seraphim-comparative-landscape","analysis","skills/analysis/eiram-seraphim-comparative-landscape","33C5CC1731B2C702D58C710BD7602093AE7D6574D3B68E2CF15D703801A349C2","2","6627","canonical-git-tracked"
"execution-propulsion","orchestration","skills/orchestration/execution-propulsion","74F88847887B9DAE4FBD216652A89B8B11282C507F4AF5740ACEE2E2751B90E9","2","3309","canonical-git-tracked"
"lawful-humint-planner","investigation","skills/investigation/lawful-humint-planner","F82B5357CE632493AF52A7BF21FE5428CC1425CDD7FA5FBFE966CCD8F12EF24D","3","5306","canonical-git-tracked"
"repo-surgeon","maintenance","skills/maintenance/repo-surgeon","FBC6A08FA7C58B3533E7EE5DA6C16D0FACC278C3641A8B2743C8C821B9EAB3AF","3","4699","canonical-git-tracked"
"research-repo-culling","analysis","skills/analysis/research-repo-culling","B3DFA078297E7FC5821C0ACE622228305F337C40FD7132FE3B82945FAFB07F87","3","24794","canonical-git-tracked"
"semantic-priority-router","orchestration","skills/orchestration/semantic-priority-router","83A8A429AE3E3EFD638142FF2E222995A18398E69E112915D3CFA1A3E39533DA","3","3967","canonical-git-tracked"
"seraphim-action-controller","orchestration","skills/orchestration/seraphim-action-controller","B6F1F965E6B5937A390A5CDFA8CEE5E19EE9F4C3C77B113BEE1305F676EF9865","3","3986","canonical-git-tracked"
"seraphim-decision-laboratory","decision-support","skills/decision-support/seraphim-decision-laboratory","2B55F8909E92E6FEE76F2A4B4F3F118C6B84FEC931B2BBECA693D8370B4ADC33","3","6199","canonical-git-tracked"
"seraphim-evaluation-harness","maintenance","skills/maintenance/seraphim-evaluation-harness","09E31FA5BCF1EFAABEBEC83B58A0DAB3C797AE837DEF465544AED961E60048DE","6","14227","canonical-git-tracked"
"seraphim-legal-intelligence","legal","skills/legal/seraphim-legal-intelligence","47C98230A879B2885E00D8F7AE171B8A2F3479A1E496FA8CA8E545CC6DCD6175","3","5210","canonical-git-tracked"
"seraphim-mission-intake","orchestration","skills/orchestration/seraphim-mission-intake","DA939A043D0E30517A8B12873F936D46454ABD4D9B5290DB5EB3A2DB7798CC02","2","4888","canonical-git-tracked"
"seraphim-operator-routing","orchestration","skills/orchestration/seraphim-operator-routing","FFEFDC3603B5C09ECD14C63178A5433ED25CC9B3220822BD1D4860125747468D","3","4007","canonical-git-tracked"
"seraphim-publication-curator","maintenance","skills/maintenance/seraphim-publication-curator","CA4260F855D8554459F890296E2165C5275CC4D5B70FA2E687044D6D55771276","3","8164","canonical-git-tracked"
"skill-ecosystem-governor","orchestration","skills/orchestration/skill-ecosystem-governor","EF89CAA80E5D2010EF39D7E08DDA112BA50A26939E481EDF198D46A055F2B53B","3","3888","canonical-git-tracked"
"software-architect","engineering","skills/engineering/software-architect","93BA0D35117A6B3F36BA154453066E09BA9A370C0C7584788A90B376DC617D6F","3","9842","canonical-git-tracked"
"technical-lead","engineering","skills/engineering/technical-lead","202A2C336C972AE424B2A544FADFF478DF609461EF36F2E86B817862B0DD0939","2","3256","canonical-git-tracked"
"technical-project-manager","engineering","skills/engineering/technical-project-manager","F8795019BDAEF59D21BD7A9392493E4945DE07B5A0A6B6D6FDACF3E3EDEE8757","2","3277","canonical-git-tracked"
"workspace-auditor","maintenance","skills/maintenance/workspace-auditor","A3D062F5209BEEF332AA9C2B055A1F84EB567381090AC73BC80E28DF53B30523","3","5009","canonical-git-tracked"
"youtube-eiram-ingest","media-ingest","skills/media-ingest/youtube-eiram-ingest","EF4D8E96F9BEB57E47BB359A82D4279EE324B1E8DC41F062C09749564383C660","7","32894","canonical-git-tracked"
