"SkillName","ArchivePath","EntryPath","Category","Classification","DuplicateAssessment","CanonicalPath","TestOnly","Notes"
"breadcrumb-investigator","Research\AGI\EI-RAM\Agent Skills\breadcrumb_skill.zip","breadcrumb-investigator/SKILL.md","investigation","archived-export","historical version; same name as canonical, content differs","Seriphim\skills\investigation\breadcrumb-investigator","No","Compressed historical/exported package; retain as immutable provenance artifact."
"eiram-investigative-orchestrator","Research\AGI\EI-RAM\Agent Skills\eiram_datacollect_skill.zip","eiram-investigative-orchestrator/SKILL.md","analysis","archived-export","historical version; same name as canonical, content differs","Seriphim\skills\analysis\eiram-investigative-orchestrator","No","Compressed historical/exported package; retain as immutable provenance artifact."
"eiram-editorial-intelligence","Research\AGI\EI-RAM\Agent Skills\eiram_skill.zip","eiram-editorial-intelligence/SKILL.md","editorial","archived-export","historical version; same name as canonical, content differs","Seriphim\skills\editorial\eiram-editorial-intelligence","No","Compressed historical/exported package; retain as immutable provenance artifact."
"eiram-editorial-intelligence","Research\AGI\EI-RAM\Agent Skills\eiram-editorial-intelligence.zip","eiram-editorial-intelligence/SKILL.md","editorial","archived-export","historical version; same name as canonical, content differs","Seriphim\skills\editorial\eiram-editorial-intelligence","No","Compressed historical/exported package; retain as immutable provenance artifact."
"eiram-editorial-intelligence","Research\AGI\EI-RAM\Agent Skills\skill.zip","eiram-editorial-intelligence/SKILL.md","editorial","archived-export","historical version; same name as canonical, content differs","Seriphim\skills\editorial\eiram-editorial-intelligence","No","Compressed historical/exported package; retain as immutable provenance artifact."
"youtube-eiram-ingest","Research\AGI\EI-RAM\Agent Skills\skill(5)youtube.zip","youtube-eiram-ingest/SKILL.md","media-ingest","archived-export","historical version; same name as canonical, content differs","Seriphim\skills\media-ingest\youtube-eiram-ingest","No","Compressed historical/exported package; retain as immutable provenance artifact."
"youtube-eiram-ingest","Research\AGI\EI-RAM\Agent Skills\skill(6)youtube.zip","youtube-eiram-ingest/SKILL.md","media-ingest","archived-export","historical version; same name as canonical, content differs","Seriphim\skills\media-ingest\youtube-eiram-ingest","No","Compressed historical/exported package; retain as immutable provenance artifact."
"youtube-eiram-ingest","Research\AGI\EI-RAM\Agent Skills\skill(7)youtube.zip","youtube-eiram-ingest/SKILL.md","media-ingest","archived-export","historical version; same name as canonical, content differs","Seriphim\skills\media-ingest\youtube-eiram-ingest","No","Compressed historical/exported package; retain as immutable provenance artifact."
"authorized-reverse-engineering","Seraphim\archive\tool-artifacts\skill.zip","authorized-reverse-engineering/SKILL.md","imported-or-historical","archived-export","no live canonical name match","","No","Compressed historical/exported package; retain as immutable provenance artifact."
"alternative-blog-writer","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/alternative-blog-writer/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"backlink-analysis","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/backlink-analysis/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"comparison-article-writer","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/comparison-article-writer/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"content-gap-analysis","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/content-gap-analysis/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"data-backup-restoration","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/data-backup-restoration/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"finance-pro-playbooks","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/finance-pro-playbooks/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"financial-analysis","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/financial-analysis/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"game-dev","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/game-dev/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"gws-best-practices","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/gws-best-practices/SKILL.md","import-adaptation-required","exported-candidate","no live canonical name match","","No","Harvest explicitly labels this adaptation_required; keep quarantined from active discovery."
"embedded-captions","Seraphim\Exports\MANUS_SKILL_HARVEST.tar.gz","MANUS_SKILL_HARVEST/adaptation_required/html-video-production/references/embedded-captions/SKILL.md","import-adaptation-required","exported-nested-reference","no live canonical name match","","No","Nested reference package inside html-video-production; do not promote independently without review."
