skill_name,snapshot_date,local_preservation,public_disposition,public_package_path,rights_basis,notes
alternative-blog-writer,2026-08-22,complete-private-copy,exclude-rights-restricted,local-private-library-only,all-rights-reserved,Bundled license states all rights reserved and does not grant public redistribution.
automation-and-scheduling,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
backlink-analysis,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
builtin-llm-models,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
content-gap-analysis,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
data-backup-restoration,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
eiram-editorial-intelligence,2026-08-22,complete-private-copy,already-public-sanitized-equivalent,skills/editorial/eiram-editorial-intelligence,existing-reviewed-public-edition,A reviewed public edition already exists in Seriphim; preserve the installed source only in the private local library.
excel-generator,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
finance-pro-playbooks,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
forensic-project-lifecycle,2026-08-22,complete-private-copy,publish-new-owner-authored,skills/maintenance/forensic-project-lifecycle,owner-directed,Created in the owner-directed task; review under the repository MIT license.
game-dev,2026-08-22,complete-private-copy,publish-after-portability-adaptation,skills/engineering/game-dev,bundled-license,"Redistribution license present; normalize metadata, paths, interface, provenance, and tests."
github-gem-seeker,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
gws-best-practices,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
html-video-production,2026-08-22,complete-private-copy,defer-adaptation-required,catalog-only-until-reviewed,bundled-license,Apache-2.0 package is redistributable but contains 19 nested SKILL.md files and a large asset/reference tree requiring separate normalization.
imagegen,2026-08-22,complete-private-copy,publish-after-portability-adaptation,skills/orchestration/imagegen,bundled-license,"Redistribution license present; normalize metadata, paths, interface, provenance, and tests."
internet-skill-finder,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
keyword-research,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
listicle-blog-writer,2026-08-22,complete-private-copy,exclude-rights-restricted,local-private-library-only,all-rights-reserved,Bundled license states all rights reserved and does not grant public redistribution.
manus-api,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
manus-config,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
manus-pptx,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
music-prompter,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
persistent-computing,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
read-special-images,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
seo-competitor-analysis,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
similarweb-analytics,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
skill-creator,2026-08-22,complete-private-copy,publish-after-portability-adaptation,skills/maintenance/skill-creator,bundled-license,"Redistribution license present; normalize metadata, paths, interface, provenance, and tests."
stock-analysis,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
tts-prompter,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
typst-pdf-maker,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
video-generator,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-custom-dockerfile,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-data-api,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-file-storage,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-image-generation,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-llm-integration,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-manus-oauth,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-maps-integration,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-owner-notifications,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-periodic-updates,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-readme-fullstack,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-readme-mobile,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-readme-mobile-backend,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-readme-static,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-ssr-conversion,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
webdev-voice-transcription,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
website-traffic-checker,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
youtube-video-research,2026-08-22,complete-private-copy,exclude-no-redistribution-evidence,local-private-library-only,not-established,No bundled redistribution license or owner-authored provenance established; many packages are Manus platform dependent.
